GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 0-100kph Time(s),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Air Fuel Ratio(Commanded)(:1),Barometric pressure (from vehicle)(psi),Commanded Equivalence Ratio(lambda),Engine Coolant Temperature(°F),Engine Load(%),Engine Load(Absolute)(%),Engine Oil Temperature(°F),Engine RPM(rpm),Fuel trim bank 1 sensor 2(%),Intake Air Temperature(°F),Intake Manifold Pressure(psi),O2 Sensor1 Equivalence Ratio(alternate),O2 Volts Bank 1 sensor 2(V),Relative Throttle Position(%),Turbo Boost & Vacuum Gauge(psi)
-,22-Jan-2022 21:54:01.621,-,-,-,-,-,-,-1.65105009,6.48300028,7.12395048,0.00820183,-,-0.00346057,-0.16830276,0.66085625,0.62619269,14.77177715,13.92362309,1.00488281,203,21.17647171,15.68627453,-,854,-2.34375,109.40000153,3.62594342,0.99447632,0.69499999,4.31372547,-10.2976799
-,22-Jan-2022 21:54:02.617,-,-,-,-,-,-,-2.5870502,6.61500025,6.8680501,0.06425004,-,0.04273384,-0.30030581,0.65943426,0.64934254,14.77177715,13.92362309,1.00488281,203,20.7843132,16.07843208,-,849,-2.34375,109.40000153,3.62594342,0.99505615,0.64499998,4.31372547,-10.2976799
-,22-Jan-2022 21:54:03.616,-,-,-,-,-,-,-2.15100002,6.6100502,7.03005028,0.01680303,-,-0.00717316,-0.20172784,0.66188073,0.61151379,14.77177715,13.92362309,1.00488281,203,20.3921566,15.68627453,-,850,-2.34375,109.40000153,3.77098107,0.99658203,0.625,4.31372547,-10.1526413
-,22-Jan-2022 21:54:04.616,-,-,-,-,-,-,-1.99095011,6.54495049,7.04700041,0.02016503,-,-0.01592261,-0.20753823,0.66870034,0.59102446,14.48735905,13.92362309,0.98553467,203,20.3921566,15.29411793,-,844,-2.34375,109.40000153,3.62594342,0.99313354,0.52999997,4.31372547,-10.2976799
-,22-Jan-2022 21:54:05.616,-,-,-,-,-,-,-2.08905005,6.5880003,7.67700052,0.01853134,-,-0.00611297,-0.19285934,0.6727829,0.6051988,14.77177715,13.92362309,1.00488281,203,20.7843132,16.07843208,-,860,-3.125,109.40000153,3.91601896,0.99169922,0.72999996,4.31372547,-10.0076046
-,22-Jan-2022 21:54:06.617,-,-,-,-,-,-,-2.06700015,6.60495043,6.84900045,0.00798787,-,-0.00181714,-0.20561162,0.67258406,0.60784405,14.4321804,13.92362309,0.98178101,203,51.76470566,6.66666651,-,1523,-3.125,109.40000153,7.68700027,1.03131104,0.055,5.09803915,-6.23662281
-,22-Jan-2022 21:54:07.616,-,-,-,-,-,-,-1.71495008,6.3300004,7.08300018,0.01135855,-,-0.00768009,-0.19246177,0.66013759,0.61498475,14.25498009,13.92362309,0.96972656,203,12.54901981,36.47058868,-,1486,-5.46875,109.40000153,2.75571704,1.07040405,0.035,12.94117641,-11.16790581
-,22-Jan-2022 21:54:08.616,-,-,-,-,-,-,-1.68900013,6.2890501,7.8300004,0.02509048,-,0.03847859,-0.17217126,0.64108562,0.69816518,14.4321804,13.92362309,0.98178101,203,10.1960783,8.62745094,-,1909,-4.6875,109.40000153,2.32060385,1.06976318,0.065,5.09803915,-11.60301971
-,22-Jan-2022 21:54:09.614,-,-,-,-,-,-,-1.76295006,6.26295042,6.94905043,-0.01060754,-,-0.00624981,-0.17828746,0.64668196,0.63272172,13.77900696,13.92362309,0.93734741,203,19.6078434,13.33333302,-,1078,0,109.40000153,3.33586788,1.07815552,0.025,4.70588255,-10.5877552
-,22-Jan-2022 21:54:10.615,-,-,-,-,-,-,-1.7509501,6.30105019,7.14300013,0.01046239,-,-0.01244547,-0.17848624,0.64230883,0.62813455,13.77900696,13.92362309,0.93734741,203,21.56862831,15.68627453,-,869,0,111.19999695,3.48090577,0.97973633,0.625,5.09803915,-10.44271755
-,22-Jan-2022 21:54:11.616,-,-,-,-,-,-,-1.65600014,6.16995049,7.38195038,0.01098081,-,0.00071403,-0.17564221,0.63180429,0.65545875,13.77900696,13.92362309,0.93734741,203,21.56862831,16.86274529,-,869,0,111.19999695,3.62594342,0.94882202,0.82999998,5.09803915,-10.2976799
-,22-Jan-2022 21:54:12.616,-,-,-,-,-,-,-1.61505008,6.23700047,7.18605042,0.00866666,-,-0.00461757,-0.15218654,0.63842511,0.64790523,14.77177715,13.92362309,1.00488281,203,22.35294151,17.25490189,-,855,0,111.19999695,3.62594342,0.95697021,0.81999999,5.09803915,-10.2976799
-,22-Jan-2022 21:54:13.616,-,-,-,-,-,-,-1.40205002,6.17700052,7.55205059,0.00857013,-,-0.00817033,-0.14414373,0.62894499,0.65279818,14.77177715,13.92362309,1.00488281,203,23.13725471,17.64705849,-,858,-8.59375,109.40000153,3.62594342,0.98104858,0.70999998,5.09803915,-10.2976799
-,22-Jan-2022 21:54:14.616,-,-,-,-,-,-,-2.54595017,6.96000051,6.45795012,0.02103704,-,0.00176469,-0.26055047,0.70775229,0.55882263,14.77177715,13.92362309,1.00488281,203,22.74509811,17.25490189,-,861,-7.03125,109.40000153,3.62594342,0.99105835,0.63,5.09803915,-10.2976799
-,22-Jan-2022 21:54:15.616,-,-,-,-,-,-,-2.82600021,6.68700027,6.46095037,0.01071735,-,-0.00332207,-0.26686546,0.68501526,0.57247704,14.77177715,13.92362309,1.00488281,203,21.56862831,17.25490189,-,859,-7.03125,109.40000153,3.62594342,0.99163818,0.65999997,4.70588255,-10.2976799
-,22-Jan-2022 21:54:16.615,-,-,-,-,-,-,-2.41695023,6.71805048,6.35100031,0.01409782,-,0.02602143,-0.28857797,0.67380732,0.61743116,14.77177715,13.92362309,1.00488281,203,23.13725471,16.86274529,-,858,-7.03125,109.40000153,3.62594342,0.99435425,0.60499996,4.70588255,-10.2976799
-,22-Jan-2022 21:54:17.615,-,-,-,-,-,-,-1.83000004,6.23895025,7.26000023,0.00847213,-,-0.01225364,-0.19368501,0.63374615,0.63200307,14.4321804,13.92362309,0.98178101,203,21.56862831,16.86274529,-,867,-5.46875,109.40000153,3.62594342,0.9977417,0.11499999,4.70588255,-10.2976799
-,22-Jan-2022 21:54:18.615,-,-,-,-,-,-,-2.02905011,6.68205023,6.02505016,-0.00284269,-,-0.00912728,-0.1880734,0.62721711,0.64322633,14.77177715,13.92362309,1.00488281,203,20.7843132,16.07843208,-,866,-5.46875,109.40000153,3.62594342,0.98822021,0.755,4.70588255,-10.2976799
-,22-Jan-2022 21:54:19.615,-,-,-,-,-,-,-1.50000012,6.73500013,6.05595016,0.01020799,-,0.00825901,-0.16044343,0.65749234,0.646896,14.77177715,13.92362309,1.00488281,203,21.96078491,16.86274529,-,858,-5.46875,109.40000153,3.62594342,0.99047852,0.73499995,4.70588255,-10.2976799
-,22-Jan-2022 21:54:20.614,-,-,-,-,-,-,-0.76005006,6.81795025,6.9079504,0.02475016,-,0.01900949,-0.10111621,0.67798167,0.65351683,14.77177715,13.92362309,1.00488281,203,21.96078491,17.64705849,-,861,-5.46875,109.40000153,3.62594342,0.99377441,0.09999999,4.70588255,-10.2976799
-,22-Jan-2022 21:54:21.615,-,-,-,-,-,-,-0.43695003,7.02900028,6.86295033,0.01217926,-,-0.00974827,-0.04067278,0.71773702,0.58053517,14.4321804,13.92362309,0.98178101,203,21.17647171,16.47058868,-,868,-4.6875,109.40000153,3.62594342,0.99594116,0.625,4.70588255,-10.2976799
-,22-Jan-2022 21:54:22.615,-,-,-,-,-,-,-0.43500003,7.05495024,6.68595028,0.01003624,-,-0.00786551,-0.04434251,0.71915901,0.58154434,14.77177715,13.92362309,1.00488281,203,21.56862831,16.86274529,-,863,-3.90625,109.40000153,3.62594342,0.99127197,0.73499995,4.70588255,-10.2976799
-,22-Jan-2022 21:54:23.615,-,-,-,-,-,-,-3.01305008,8.12295055,5.21100044,0.02514625,-,-0.03544928,-0.16727829,0.78114676,0.43995416,14.77177715,13.92362309,1.00488281,203,22.35294151,17.25490189,-,861,-3.90625,109.40000153,3.77098107,0.9934082,0.69,4.70588255,-10.1526413
-,22-Jan-2022 21:54:24.615,-,-,-,-,-,-,-2.81595016,6.93600035,5.66805029,-0.02385491,-,-0.0425279,-0.28704894,0.70703363,0.47778288,14.77177715,13.92362309,1.00488281,203,21.96078491,16.86274529,-,859,-3.90625,109.40000153,3.62594342,0.99484253,0.64999998,4.70588255,-10.2976799
-,22-Jan-2022 21:54:25.615,-,-,-,-,-,-,-3.19905019,7.00305033,6.01095009,0.01128088,-,-0.01444296,-0.32518348,0.70866972,0.50224769,14.4321804,13.92362309,0.98178101,203,21.17647171,16.86274529,-,865,-3.90625,109.40000153,3.62594342,0.99942017,0.13499999,4.70588255,-10.2976799
-,22-Jan-2022 21:54:26.617,-,-,-,-,-,-,-3.58995008,7.12500048,6.00105047,0.0255548,-,0.01701399,-0.3617737,0.7055046,0.5363915,14.4321804,13.92362309,0.98178101,204.80000305,21.17647171,16.86274529,-,862,-3.125,109.40000153,3.62594342,0.99307251,0.47,4.70588255,-10.2976799
-,22-Jan-2022 21:54:27.615,-,-,-,-,-,-,-1.23195004,5.60505009,7.85100031,0.02300509,-,-0.00659909,-0.11753823,0.55331802,0.71620792,14.77177715,13.92362309,1.00488281,204.80000305,21.56862831,16.47058868,-,860,-3.125,109.40000153,3.62594342,0.99520874,0.64999998,4.70588255,-10.2976799
-,22-Jan-2022 21:54:28.615,-,-,-,-,-,-,-3.15600014,7.17495012,6.4390502,0.06240598,-,-0.00206863,-0.38154435,0.74525994,0.4424006,14.4321804,13.92362309,0.98178101,204.80000305,20.7843132,16.07843208,-,863,-3.125,109.40000153,3.77098107,0.99398804,0.14,4.70588255,-10.1526413
-,22-Jan-2022 21:54:29.614,-,-,-,-,-,-,-1.02405,4.82205009,8.59605026,0.02911562,-,0.00571306,-0.12732415,0.50347096,0.76085633,14.77177715,13.92362309,1.00488281,204.80000305,20.7843132,16.47058868,-,863,-2.34375,109.40000153,3.62594342,0.98934937,0.755,4.70588255,-10.2976799
-,22-Jan-2022 21:54:30.614,-,-,-,-,-,-,-1.88805008,5.70000029,7.69800043,0.01061401,-,0.01236526,-0.24414372,0.5927676,0.6830734,14.77177715,13.92362309,1.00488281,204.80000305,20.7843132,16.47058868,-,858,-3.125,109.40000153,3.62594342,0.99090576,0.72499996,4.70588255,-10.2976799
-,22-Jan-2022 21:54:31.615,-,-,-,-,-,-,-1.34895003,5.75295019,7.54695034,-0.00059195,-,-0.02260021,-0.13750765,0.58643728,0.66931194,14.77177715,13.92362309,1.00488281,204.80000305,21.17647171,16.47058868,-,858,-3.125,109.40000153,3.62594342,0.99356079,0.69499999,4.31372547,-10.2976799
-,22-Jan-2022 21:54:32.615,-,-,-,-,-,-,-1.23705006,5.7510004,7.70295048,0.00520229,-,-0.01539036,-0.13995413,0.59010708,0.67522937,14.4321804,13.92362309,0.98178101,204.80000305,20.3921566,16.07843208,-,857,-3.125,109.40000153,3.62594342,0.99832153,0.185,4.31372547,-10.2976799
-,22-Jan-2022 21:54:33.615,-,-,-,-,-,-,-2.22000003,6.24600029,7.52805042,-0.00422354,-,0.0167984,-0.21487769,0.62496942,0.67227829,14.4321804,13.92362309,0.98178101,204.80000305,20.3921566,15.68627453,-,864,-3.125,109.40000153,3.62594342,0.99398804,0.16,4.31372547,-10.2976799
-,22-Jan-2022 21:54:34.615,-,-,-,-,-,-,-1.33500004,6.1500001,7.24800014,-0.00252235,-,-0.00221097,-0.11120795,0.62354738,0.67053521,14.77177715,13.92362309,1.00488281,204.80000305,20.7843132,16.07843208,-,855,-3.125,109.40000153,3.62594342,0.99319458,0.71999997,4.31372547,-10.2976799
-,22-Jan-2022 21:54:35.614,-,-,-,-,-,-,-1.47600007,6.17205048,7.63605022,0.01441765,-,0.01246083,-0.15045872,0.62915903,0.6783945,14.4321804,13.92362309,0.98178101,204.80000305,20.3921566,15.68627453,-,859,-3.125,109.40000153,3.77098107,0.99621582,0.17,4.31372547,-10.1526413
-,22-Jan-2022 21:54:36.616,-,-,-,-,-,-,-0.82305002,5.8369503,7.82505035,0.00102689,-,-0.01607239,-0.11845566,0.61651379,0.65718657,14.77177715,13.92362309,1.00488281,204.80000305,20.3921566,15.68627453,-,832,-3.125,109.40000153,3.62594342,0.99023438,0.74000001,4.31372547,-10.2976799
-,22-Jan-2022 21:54:37.615,-,-,-,-,-,-,-1.54095006,6.71295023,6.79305029,0.00512332,-,-0.02811492,-0.16238531,0.67503059,0.57961774,14.77177715,13.92362309,1.00488281,204.80000305,24.31372643,20.7843132,-,910,-3.125,109.40000153,4.6412077,0.99313354,0.685,5.88235283,-9.28241539
-,22-Jan-2022 21:54:38.616,-,-,-,-,-,-,-1.52595007,6.49500036,7.30095053,0.00444746,-,-0.00899312,-0.1443425,0.68766052,0.59836394,14.4321804,13.92362309,0.98178101,204.80000305,24.31372643,18.43137169,-,907,-3.125,109.40000153,4.20609426,1.00204468,0.07,5.88235283,-9.7175293
-,22-Jan-2022 21:54:39.615,-,-,-,-,-,-,-1.5979501,6.7060504,6.88905048,0.01299638,-,-0.00391643,-0.15749235,0.67695719,0.61304283,14.77177715,13.92362309,1.00488281,204.80000305,23.92156982,18.03921509,-,871,-2.34375,109.40000153,3.91601896,0.99453735,0.69999999,4.70588255,-10.0076046
-,22-Jan-2022 21:54:40.615,-,-,-,-,-,-,-1.28400004,6.3199501,7.28205013,0.01525342,-,-0.00950243,-0.10600917,0.64016819,0.64790523,14.77177715,13.92362309,1.00488281,204.80000305,22.74509811,17.25490189,-,847,-3.125,109.40000153,3.91601896,0.99606323,0.60499996,4.70588255,-10.0076046
-,22-Jan-2022 21:54:41.615,-,-,-,-,-,-,-1.45905006,6.75795031,7.00200033,0.02206391,-,-0.01859366,-0.14851682,0.67767584,0.59368503,14.4321804,13.92362309,0.98178101,204.80000305,21.96078491,17.64705849,-,850,-3.125,109.40000153,3.77098107,0.99658203,0.14,5.09803915,-10.1526413
-,22-Jan-2022 21:54:42.615,-,-,-,-,-,-,-3.72405028,6.62205029,6.16605043,0.01936855,-,-0.00584488,-0.36860856,0.67258406,0.53200305,14.77177715,13.92362309,1.00488281,204.80000305,23.13725471,17.64705849,-,849,-2.34375,109.40000153,3.77098107,0.99371338,0.72499996,5.09803915,-10.1526413
-,22-Jan-2022 21:54:43.615,-,-,-,-,-,-,-1.78695011,5.60700035,7.72905016,0.02074436,-,0.00192994,-0.1800153,0.57155967,0.70255351,14.4321804,13.92362309,0.98178101,204.80000305,21.96078491,17.25490189,-,851,-2.34375,109.40000153,3.91601896,0.99758911,0.145,5.09803915,-10.0076046
-,22-Jan-2022 21:54:44.615,-,-,-,-,-,-,-1.24395001,5.85405016,7.50000048,-0.00861815,-,-0.02398297,-0.13995413,0.60622323,0.65157497,14.77177715,13.92362309,1.00488281,204.80000305,23.13725471,18.03921509,-,838,-2.34375,109.40000153,3.77098107,0.99429321,0.71499997,5.09803915,-10.1526413
-,22-Jan-2022 21:54:45.617,-,-,-,-,-,-,-0.76005006,5.32695007,7.89705038,-0.02096504,-,-0.043247,-0.07013761,0.55474007,0.67594802,14.4321804,13.92362309,0.98178101,204.80000305,21.96078491,17.64705849,-,861,-2.34375,109.40000153,3.91601896,1.00112915,0.12,4.70588255,-10.0076046
-,22-Jan-2022 21:54:46.616,-,-,-,-,-,-,-0.86295003,5.49705029,8.0020504,0.0125311,-,-0.00612946,-0.08796636,0.56035167,0.71570337,14.4321804,13.92362309,0.98178101,204.80000305,21.17647171,16.07843208,-,876,-2.34375,109.40000153,3.62594342,0.99768066,0.105,4.70588255,-10.2976799
-,22-Jan-2022 21:54:47.615,-,-,-,-,-,-,-1.95705009,5.7289505,8.77305031,0.01970329,-,-0.00159052,-0.04943425,0.53200305,0.74301231,14.77177715,13.92362309,1.00488281,204.80000305,21.56862831,16.07843208,-,859,-2.34375,109.40000153,3.77098107,0.99435425,0.70999998,4.70588255,-10.1526413
-,22-Jan-2022 21:54:48.615,-,-,-,-,-,-,-0.88995004,5.62905025,7.61205053,0.00861595,-,0.00353941,-0.09530582,0.57645261,0.71548933,14.4321804,13.92362309,0.98178101,204.80000305,21.56862831,16.47058868,-,871,-2.34375,109.40000153,3.62594342,0.99816895,0.09999999,4.70588255,-10.2976799
-,22-Jan-2022 21:54:49.615,-,-,-,-,-,-,-0.84405005,5.48295021,8.09100056,0.00784697,-,-0.00553223,-0.10285933,0.56594801,0.71081042,14.77177715,13.92362309,1.00488281,204.80000305,21.17647171,16.07843208,-,863,-2.34375,109.40000153,3.77098107,0.99179077,0.73499995,4.70588255,-10.1526413
-,22-Jan-2022 21:54:50.616,-,-,-,-,-,-,-1.08105004,5.69595051,7.94505024,0.0129816,-,-0.01219069,-0.0814526,0.575948,0.69796634,14.77177715,13.92362309,1.00488281,203,20.7843132,16.47058868,-,867,-2.34375,109.40000153,3.62594342,0.99627686,0.66499996,4.70588255,-10.2976799
-,22-Jan-2022 21:54:51.616,-,-,-,-,-,-,-1.01205003,5.4079504,8.15295029,0.02161855,-,-0.02031136,-0.10703364,0.55351681,0.70081043,14.4321804,13.92362309,0.98178101,203,20.3921566,16.47058868,-,864,-2.34375,109.40000153,3.62594342,0.99453735,0.17,4.70588255,-10.2976799
-,22-Jan-2022 21:54:52.616,-,-,-,-,-,-,-1.15005004,5.5260005,7.73205042,0.00788051,-,0.00604619,-0.12527522,0.56422019,0.72304279,14.77177715,13.92362309,1.00488281,201.19999695,21.17647171,15.68627453,-,857,-2.34375,109.40000153,3.77098107,0.99313354,0.745,4.70588255,-10.1526413
-,22-Jan-2022 21:54:53.615,-,-,-,-,-,-,-1.40700006,5.54700041,7.97805023,0.00463167,-,-0.00850793,-0.13506116,0.56819576,0.70081043,14.4321804,13.92362309,0.98178101,201.19999695,21.17647171,16.47058868,-,867,-2.34375,109.40000153,3.62594342,0.99789429,0.09999999,4.70588255,-10.2976799
-,22-Jan-2022 21:54:54.617,-,-,-,-,-,-,-0.46095002,5.74800014,7.69305038,0.02017724,-,-0.01502315,-0.0116208,0.54668194,0.71885324,14.4321804,13.92362309,0.98178101,197.6000061,20.7843132,16.07843208,-,854,-2.34375,109.40000153,3.62594342,0.99349976,0.73499995,4.31372547,-10.2976799
-,22-Jan-2022 21:54:55.616,-,-,-,-,-,-,-0.72405005,6.52095032,7.26000023,0.00509802,-,-0.00126877,-0.07114679,0.65087157,0.65371561,14.4321804,13.92362309,0.98178101,197.6000061,20.7843132,15.68627453,-,853,-2.34375,109.40000153,3.62594342,0.99627686,0.57999998,4.70588255,-10.2976799
-,22-Jan-2022 21:54:56.615,-,-,-,-,-,-,-1.08600008,5.59995031,7.92795038,0.02667339,-,0.00411075,-0.09602446,0.54159021,0.73964828,14.4321804,13.92362309,0.98178101,197.6000061,21.56862831,16.47058868,-,856,-2.34375,109.40000153,3.62594342,0.99536133,0.145,4.31372547,-10.2976799
-,22-Jan-2022 21:54:57.616,-,-,-,-,-,-,-1.19595003,5.88000011,7.48800039,-0.002859,-,-0.0215248,-0.12191131,0.59938836,0.66330278,14.77177715,13.92362309,1.00488281,195.80000305,21.17647171,15.68627453,-,862,-2.34375,109.40000153,3.62594342,0.98852539,0.75,4.31372547,-10.2976799
-,22-Jan-2022 21:54:58.616,-,-,-,-,-,-,-1.56000006,5.99700022,7.50000048,0.01310258,-,-0.02605366,-0.16360855,0.61723244,0.63496941,14.77177715,13.92362309,1.00488281,195.80000305,20.3921566,16.47058868,-,853,-2.34375,109.40000153,3.77098107,0.99328613,0.69999999,4.70588255,-10.1526413
-,22-Jan-2022 21:54:59.615,-,-,-,-,-,-,-1.39005005,5.98995018,7.40595055,0.00989487,-,-0.00149257,-0.15290521,0.6108104,0.67451072,14.77177715,13.92362309,1.00488281,195.80000305,20.7843132,15.68627453,-,852,-2.34375,109.40000153,3.62594342,0.99435425,0.685,4.31372547,-10.2976799
-,22-Jan-2022 21:55:00.625,-,-,-,-,-,-,-1.29195011,6.21705008,7.49505043,0.03503243,-,-0.01946264,-0.12191131,0.62986237,0.64108568,14.4321804,13.92362309,0.98178101,195.80000305,21.17647171,16.47058868,-,860,-2.34375,109.40000153,3.62594342,0.9954834,0.125,4.70588255,-10.2976799
-,22-Jan-2022 21:55:01.622,-,-,-,-,-,-,-0.43695003,6.33705044,7.47105026,0.00204177,-,0.02197015,-0.07431193,0.63577986,0.69622326,14.77177715,13.92362309,1.00488281,195.80000305,20.7843132,16.47058868,-,851,-2.34375,111.19999695,3.62594342,0.99127197,0.74000001,4.31372547,-10.2976799
-,22-Jan-2022 21:55:02.622,-,-,-,-,-,-,-0.79605001,6.44505024,7.26300049,0.01215708,-,-0.00593221,-0.0919419,0.6559633,0.64077979,14.77177715,13.92362309,1.00488281,195.80000305,20,16.07843208,-,850,-2.34375,111.19999695,3.62594342,0.99435425,0.69,4.31372547,-10.2976799
-,22-Jan-2022 21:55:03.622,-,-,-,-,-,-,-1.06695008,6.51405048,7.06605053,0.00955175,-,-0.00831925,-0.09704893,0.66279817,0.63077986,14.75248718,13.92362309,1.00357056,195.80000305,21.17647171,15.68627453,-,854,-2.34375,111.19999695,3.62594342,0.99520874,0.625,4.31372547,-10.2976799
-,22-Jan-2022 21:55:04.624,-,-,-,-,-,-,-1.15005004,6.62205029,6.95400047,0.01198677,-,-0.01614883,-0.12090214,0.6727829,0.60714066,14.77177715,13.92362309,1.00488281,195.80000305,20.7843132,15.68627453,-,851,-2.34375,111.19999695,3.62594342,0.99511719,0.58499998,4.31372547,-10.2976799
-,22-Jan-2022 21:55:05.623,-,-,-,-,-,-,-1.91595006,6.57195044,7.16205025,0.00833993,-,-0.01292723,-0.19530581,0.67726302,0.59051985,14.77177715,13.92362309,1.00488281,195.80000305,20.3921566,15.68627453,-,853,-2.34375,111.19999695,3.62594342,0.993927,0.70999998,4.31372547,-10.2976799
-,22-Jan-2022 21:55:06.628,-,-,-,-,-,-,-1.56495011,6.31605053,7.38705015,0.01376867,-,0.00677453,-0.15504587,0.64209479,0.65932721,14.4321804,13.92362309,0.98178101,195.80000305,20.7843132,15.68627453,-,849,-2.34375,111.19999695,3.62594342,0.99621582,0.45999998,4.31372547,-10.2976799
-,22-Jan-2022 21:55:07.622,-,-,-,-,-,-,-1.00200009,6.06195021,7.47300053,0.00493395,-,-0.00453952,-0.11365443,0.61937308,0.67053521,14.77177715,13.92362309,1.00488281,195.80000305,20.7843132,15.29411793,-,852,-2.34375,111.19999695,3.62594342,0.99008179,0.72499996,4.31372547,-10.2976799
-,22-Jan-2022 21:55:08.622,-,-,-,-,-,-,-1.11495006,6.13395023,7.45695019,0.00980556,-,-0.01150012,-0.11773701,0.62304282,0.65790522,14.77177715,13.92362309,1.00488281,195.80000305,20.7843132,16.07843208,-,851,-2.34375,111.19999695,3.62594342,0.99090576,0.71499997,4.31372547,-10.2976799
-,22-Jan-2022 21:55:09.614,-,-,-,-,-,-,-0.95400006,6.16005039,7.39905024,0.01008738,-,-0.00671841,-0.11529052,0.62426603,0.6635015,14.77177715,13.92362309,1.00488281,195.80000305,20.3921566,15.68627453,-,849,-2.34375,111.19999695,3.62594342,0.99407959,0.66499996,4.31372547,-10.2976799
-,22-Jan-2022 21:55:10.622,-,-,-,-,-,-,-1.01205003,6.0949502,7.55895042,0.0118362,-,-0.00448122,-0.10316513,0.62129968,0.67053521,14.6327076,13.92362309,0.99542236,197.6000061,20,16.47058868,-,851,-2.34375,111.19999695,3.62594342,0.99615479,0.145,4.31372547,-10.2976799
